...Mass Properties...
14 Num Comps
13 Total Num Meshes
40512 Total Num Tris

7.881915284987734e+04             Total Mass
3.599556759590418e+01 -5.540130923158147e-04 -4.804688696740172e-01       Center of Gravity
3.205977023551632e+07 2.272825535662856e+07 5.463132014579119e+07       Ixx, Iyy, Izz
-1.773387639035461e+03 -3.743597654113245e+05 6.441178485006103e+02       Ixy, Ixz, Iyz
1.360383056997547e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	7.881915284987734e+04	3.599556759590418e+01	-5.540130923158147e-04	-4.804688696740172e-01	3.205977023551632e+07	2.272825535662856e+07	5.463132014579119e+07	-1.773387639035461e+03	-3.743597654113245e+05	6.441178485006103e+02	1.360383056997547e+03

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
67 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
2.514562570375789e+01	5.644789257312419e+02	2.514562570375766e+01	2.472991277865087e-04	-6.065785315793586e-03	2.271437386535264e+03	5.290649608751411e+02	1.818584774094297e+03	-7.184593560519842e+00	-2.313750112157494e-01	5.240035533063267e+00	1.128957851462482e+01
2.571486441497958e+01	2.039258448486946e+03	2.555729573778079e+01	8.472959509298595e-05	-2.519525048562269e-02	1.783339623878237e+04	3.860041307287242e+03	1.451324092735465e+04	-2.992247344839843e+01	-7.143801388469053e+00	2.093395312023938e+01	4.078516896973890e+01
2.628410312620127e+01	4.097768038724999e+03	2.592240668724945e+01	4.307361425119076e-05	-6.194301665075665e-02	5.008276299966437e+04	1.005378579191005e+04	4.192908705975649e+04	-6.284718803250352e+01	-6.268984861200455e+01	4.255432731342015e+01	8.195536077450114e+01
2.685334183742295e+01	6.280825645864170e+03	2.624597641771639e+01	2.810230530063642e-05	-8.461455915897605e-02	8.762404436065363e+04	1.742901449167814e+04	7.485856159000886e+04	-9.765956227410810e+01	-1.503455829198946e+02	6.525519396881025e+01	1.256165129172854e+02
2.742258054864464e+01	8.463883253003351e+03	2.654945350049697e+01	2.085398328567849e-05	-9.559093011090410e-02	1.251598418302216e+05	2.580950691935965e+04	1.087940280019880e+05	-1.323831890247829e+02	-2.326333337601684e+02	8.797924109833481e+01	1.692776650600695e+02
2.799181925986632e+01	1.064694086014253e+04	2.684519737515842e+01	1.657806521709668e-05	-1.020660926086570e-01	1.626945519861437e+05	3.555653013829410e+04	1.440973490194540e+05	-1.670324421244165e+02	-3.128591699594641e+02	1.106734231490268e+02	2.129388172028536e+02
