...Mass Properties...
12 Num Comps
10 Total Num Meshes
48320 Total Num Tris

8.440807431615370e+04             Total Mass
4.258583573887024e+01 -5.590264695196078e-08 -5.203008942630564e-01       Center of Gravity
3.308628566809737e+07 1.156985074713827e+07 4.453056515405548e+07       Ixx, Iyy, Izz
-7.028785261588204e+02 -2.185114630034329e+05 4.910053461337135e+02       Ixy, Ixz, Iyz
1.217793114987516e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
4.339939428789292e+01	1.788988696560721e+04	3.864631120080827e+01	-1.028053977189831e-07	-6.536265019497278e-01	7.188513640411197e+05	1.186936239872191e+05	7.731239921657307e+05	-2.004625477363611e+02	-7.521322356563556e+03	1.451510416335888e+02	3.577977393121596e+02
4.386416167750630e+01	1.887007807306473e+04	3.891734826899104e+01	-9.746525998945245e-08	-6.802636518009285e-01	9.828440552584940e+05	1.445191348446253e+05	1.061980255014030e+06	-2.106501866333151e+02	-1.000814567005320e+04	1.539243405251579e+02	3.774015614613108e+02
4.432892906711967e+01	1.999442681722638e+04	3.922165827146951e+01	-9.198449122069505e-08	-7.057267446293427e-01	1.324987369740903e+06	1.761371044128703e+05	1.434757215332747e+06	-2.236203190692293e+02	-1.260876962626100e+04	1.631865480557364e+02	3.998885363445446e+02
4.479369645673304e+01	2.125792129569971e+04	3.955284020515878e+01	-8.651726049069775e-08	-7.291412004651016e-01	1.756426114616931e+06	2.135872930246046e+05	1.902653256886555e+06	-2.377895291826901e+02	-1.521782532239697e+04	1.734553899344090e+02	4.251584259140122e+02
4.525846384634642e+01	2.265328304771927e+04	3.990428635023030e+01	-8.118809554538221e-08	-7.498609713379651e-01	2.288220951076741e+06	2.567721951200509e+05	2.476642372696056e+06	-2.546167277272797e+02	-1.773144576974369e+04	1.851202659253948e+02	4.530656609544047e+02
4.572323123595979e+01	2.417319915736356e+04	4.027015881979381e+01	-7.608330226430098e-08	-7.675292537809331e-01	2.931328007195445e+06	3.055615645231646e+05	3.167554162173341e+06	-2.726946796956198e+02	-2.006101619188225e+04	1.973890437116923e+02	4.834639831472920e+02
4.618799862557317e+01	2.581009756250804e+04	4.064547326858749e+01	-1.132387382290977e-07	-7.820114332367697e-01	3.696464147142346e+06	3.598157558380031e+05	3.985963243530693e+06	-2.919167606697428e+02	-2.213334724425730e+04	2.110291576649710e+02	5.162019512501830e+02
4.665276601518654e+01	2.755261200552661e+04	4.102539348712402e+01	-1.060771464217210e-07	-7.932302728666094e-01	4.593498026115740e+06	4.192883612547074e+05	4.941493706706821e+06	-3.132067551408416e+02	-2.387347490320214e+04	2.251237674640652e+02	5.510522401105557e+02
4.711753340479991e+01	2.938863015720277e+04	4.140599235857783e+01	-9.945009565158546e-08	-8.012346275232551e-01	5.631397477983531e+06	4.837411823154649e+05	6.042875951452187e+06	-3.351690273779201e+02	-2.521772676811748e+04	2.398714612573602e+02	5.877726031440793e+02
4.758230079441329e+01	3.130606417139296e+04	4.178427893628903e+01	-9.335896760027172e-08	-8.061890843570271e-01	6.818063124097855e+06	5.529754112705097e+05	7.297807992679047e+06	-3.580306283708598e+02	-2.611775038532292e+04	2.556152277551869e+02	6.261212834278833e+02
4.804706818402666e+01	3.328966314431366e+04	4.215745370425163e+01	-8.779607861871396e-08	-8.082664632057444e-01	8.159717071006915e+06	6.267141745977671e+05	8.712233446974503e+06	-3.825425930828031e+02	-2.652582416841203e+04	2.715089909825304e+02	6.657932628862969e+02
4.851183557364003e+01	3.532168597718146e+04	4.252301521951173e+01	-8.274524991608898e-08	-8.076491489748937e-01	9.660487697423300e+06	7.046176595771330e+05	1.028994175767978e+07	-4.073740138252660e+02	-2.639601050729611e+04	2.876206210890481e+02	7.064337195436524e+02
4.897660296325341e+01	3.738451777672530e+04	4.287911626910797e+01	-1.529974614487289e-07	-8.045760959554066e-01	1.132226906125367e+07	7.863682727351149e+05	1.203250577854279e+07	-4.326832911730833e+02	-2.569629410363030e+04	3.043719922797202e+02	7.476903555345289e+02
